iter	Passed	Remaining
0	1	183
1	3	168
2	5	166
3	6	153
4	8	157
5	9	154
6	11	154
7	13	151
8	14	149
9	16	147
10	18	145
11	19	144
12	21	142
13	22	141
14	24	139
15	26	137
16	27	135
17	29	132
18	30	129
19	31	127
20	33	125
21	34	122
22	35	119
23	36	116
24	38	114
25	39	112
26	40	109
27	41	107
28	42	104
29	43	102
30	45	100
31	46	98
32	47	95
33	48	94
34	49	92
35	50	90
36	52	88
37	53	86
38	54	85
39	55	83
40	56	81
41	57	78
42	58	77
43	59	75
44	60	74
45	62	72
46	63	71
47	64	69
48	65	68
49	66	66
50	67	64
51	68	63
52	69	61
53	70	60
54	71	58
55	72	57
56	73	55
57	75	54
58	76	53
59	77	51
60	78	50
61	80	49
62	81	47
63	82	46
64	83	45
65	84	43
66	85	42
67	86	40
68	88	39
69	89	38
70	90	36
71	91	35
72	92	34
73	93	33
74	95	31
75	96	30
76	97	29
77	98	27
78	99	26
79	100	25
80	101	23
81	102	22
82	103	21
83	104	19
84	105	18
85	106	17
86	107	16
87	108	14
88	109	13
89	111	12
90	112	11
91	113	9
92	114	8
93	115	7
94	116	6
95	117	4
96	118	3
97	119	2
98	120	1
99	122	0
