iter	Passed	Remaining
0	149	148964
1	150	75291
2	152	50518
3	153	38176
4	154	30741
5	155	25772
6	156	22232
7	157	19581
8	159	17517
9	160	15848
10	161	14508
11	162	13393
12	163	12432
13	164	11602
14	165	10900
15	167	10299
16	169	9790
17	170	9327
18	172	8893
19	173	8505
20	174	8148
21	176	7830
22	177	7528
23	178	7256
24	180	7036
25	181	6805
26	183	6600
27	184	6401
28	185	6226
29	187	6050
30	188	5888
31	189	5737
32	190	5594
33	192	5460
34	193	5337
35	195	5222
36	196	5120
37	198	5016
38	199	4918
39	200	4816
40	201	4724
41	203	4635
42	204	4554
43	206	4482
44	207	4405
45	208	4330
46	210	4263
47	211	4199
48	212	4131
49	213	4064
50	215	4002
51	216	3941
52	217	3882
53	218	3823
54	219	3769
55	220	3724
56	222	3674
57	223	3632
58	225	3589
59	227	3560
60	228	3523
61	230	3492
62	232	3459
63	233	3420
64	234	3379
65	236	3339
66	237	3305
67	238	3274
68	240	3241
69	242	3215
70	243	3184
71	244	3153
72	245	3119
73	246	3086
74	247	3054
75	248	3022
76	249	2991
77	250	2964
78	252	2939
79	253	2914
80	254	2890
81	256	2870
82	256	2838
83	257	2813
84	259	2788
85	260	2765
86	261	2743
87	262	2720
88	263	2698
89	264	2675
90	265	2653
91	267	2635
92	268	2615
93	269	2596
94	270	2580
95	272	2561
96	273	2544
97	274	2527
98	275	2509
99	276	2492
100	277	2473
101	278	2454
102	279	2436
103	280	2420
104	282	2405
105	283	2393
106	284	2378
107	286	2364
108	287	2347
109	288	2331
110	289	2315
111	290	2299
112	291	2286
113	292	2272
114	293	2258
115	294	2243
116	295	2228
117	296	2215
118	297	2203
119	298	2190
120	299	2178
121	300	2163
122	301	2151
123	302	2138
124	303	2125
125	304	2113
126	305	2101
127	306	2090
128	307	2078
129	308	2067
130	310	2057
131	311	2046
132	312	2036
133	313	2027
134	314	2017
135	315	2005
136	316	1994
137	317	1983
138	318	1975
139	319	1965
140	321	1956
141	321	1944
142	323	1935
143	324	1926
144	325	1917
145	326	1909
146	327	1901
147	328	1893
148	330	1886
149	332	1882
150	333	1874
151	334	1866
152	335	1857
153	336	1848
154	337	1839
155	338	1831
156	339	1823
157	340	1815
158	342	1809
159	343	1804
160	344	1797
161	345	1789
162	346	1781
163	348	1774
164	348	1766
165	349	1758
166	350	1750
167	351	1742
168	352	1735
169	354	1728
170	355	1721
171	356	1717
172	358	1715
173	360	1712
174	362	1708
175	363	1702
176	364	1696
177	365	1689
178	367	1683
179	368	1678
180	369	1672
181	371	1668
182	372	1664
183	373	1658
184	375	1653
185	376	1647
186	377	1642
187	378	1635
188	380	1630
189	381	1625
190	382	1620
191	384	1616
192	385	1611
193	387	1608
194	388	1604
195	389	1598
196	390	1592
197	391	1586
198	392	1581
199	394	1576
200	395	1571
201	396	1566
202	397	1561
203	398	1556
204	400	1551
205	401	1546
206	402	1542
207	403	1537
208	404	1532
209	406	1527
210	407	1522
211	408	1517
212	409	1513
213	410	1507
214	411	1502
215	412	1498
216	414	1494
217	415	1489
218	416	1485
219	417	1481
220	418	1476
221	420	1472
222	421	1467
223	422	1463
224	423	1458
225	424	1453
226	425	1448
227	426	1444
228	427	1439
229	428	1434
230	429	1430
231	431	1428
232	433	1425
233	434	1421
234	435	1416
235	436	1412
236	437	1408
237	438	1403
238	439	1399
239	440	1394
240	441	1390
241	442	1386
242	443	1382
243	445	1379
244	446	1376
245	447	1373
246	448	1368
247	450	1364
248	451	1361
249	452	1357
250	453	1353
251	454	1350
252	456	1346
253	457	1342
254	458	1339
255	459	1335
256	460	1332
257	462	1329
258	463	1326
259	464	1322
260	465	1318
261	466	1314
262	467	1311
263	469	1307
264	470	1304
265	471	1300
266	472	1297
267	473	1293
268	474	1289
269	475	1286
270	477	1283
271	478	1279
272	479	1276
273	480	1273
274	481	1269
275	482	1266
276	484	1263
277	485	1259
278	486	1256
279	488	1255
280	489	1252
281	491	1250
282	492	1248
283	493	1245
284	494	1241
285	496	1238
286	497	1235
287	498	1232
288	499	1229
289	500	1226
290	501	1222
291	502	1219
292	503	1216
293	505	1213
294	506	1211
295	508	1208
296	509	1205
297	510	1203
298	512	1200
299	513	1197
300	514	1194
301	515	1191
302	516	1187
303	517	1184
304	518	1181
305	519	1178
306	520	1175
307	521	1172
308	522	1169
309	523	1165
310	524	1162
311	525	1158
312	526	1155
313	527	1152
314	528	1148
315	529	1146
316	530	1143
317	531	1140
318	532	1136
319	533	1133
320	534	1130
321	535	1128
322	537	1125
323	538	1123
324	539	1120
325	540	1116
326	541	1113
327	542	1110
328	543	1108
329	544	1105
330	545	1102
331	546	1100
332	547	1097
333	549	1094
334	551	1094
335	553	1093
336	554	1091
337	555	1088
338	556	1085
339	557	1082
340	558	1079
341	559	1076
342	560	1073
343	561	1071
344	563	1069
345	564	1066
346	565	1064
347	566	1062
348	568	1059
349	569	1057
350	570	1054
351	571	1052
352	572	1049
353	574	1047
354	575	1044
355	575	1041
356	577	1039
357	578	1038
358	580	1036
359	582	1034
360	583	1032
361	584	1030
362	585	1027
363	586	1025
364	587	1022
365	588	1020
366	589	1017
367	590	1014
368	591	1012
369	593	1009
370	594	1007
371	595	1006
372	597	1003
373	598	1001
374	599	999
375	601	997
376	602	995
377	604	994
378	605	992
379	606	990
380	608	988
381	610	987
382	611	985
383	614	985
384	616	984
385	617	982
386	619	981
387	620	978
388	621	976
389	624	976
390	628	978
391	630	977
392	632	976
393	633	974
394	635	972
395	636	970
396	637	968
397	639	966
398	640	965
399	642	963
400	643	961
401	644	958
402	645	956
403	646	954
404	648	952
405	649	949
406	650	947
407	651	945
408	653	943
409	654	941
410	655	939
411	657	937
412	658	935
413	659	933
414	661	931
415	662	929
416	664	928
417	665	926
418	666	924
419	668	923
420	670	921
421	672	920
422	673	918
423	675	917
424	676	914
425	677	912
426	678	910
427	680	908
428	681	907
429	683	906
430	685	905
431	688	904
432	689	902
433	690	900
434	691	898
435	693	896
436	694	894
437	697	894
438	698	893
439	700	892
440	702	890
441	704	889
442	706	887
443	708	886
444	709	885
445	710	883
446	712	881
447	714	879
448	715	878
449	717	877
450	719	875
451	720	873
452	721	871
453	722	869
454	724	867
455	725	865
456	726	863
457	727	861
458	729	859
459	731	858
460	732	856
461	733	854
462	734	852
463	735	850
464	737	848
465	738	846
466	739	843
467	740	841
468	741	839
469	742	837
470	744	835
471	745	833
472	746	831
473	747	829
474	748	826
475	749	824
476	750	822
477	751	820
478	752	818
479	753	815
480	754	814
481	755	812
482	757	810
483	759	809
484	760	807
485	761	805
486	763	803
487	764	801
488	765	799
489	766	797
490	767	795
491	768	793
492	769	791
493	770	789
494	772	787
495	773	786
496	776	785
497	777	783
498	778	781
499	779	779
500	781	778
501	782	776
502	783	774
503	784	772
504	785	770
505	787	768
506	789	767
507	790	765
508	792	764
509	793	762
510	794	760
511	795	757
512	796	756
513	798	754
514	799	752
515	800	750
516	801	749
517	803	747
518	804	745
519	806	744
520	807	742
521	808	739
522	809	737
523	809	735
524	811	733
525	812	731
526	813	729
527	814	728
528	815	726
529	817	724
530	818	723
531	820	721
532	821	719
533	822	717
534	823	715
535	824	713
536	825	711
537	826	710
538	827	708
539	829	706
540	830	704
541	831	702
542	832	700
543	833	698
544	834	696
545	835	694
546	837	693
547	838	691
548	839	689
549	840	687
550	841	685
551	843	684
552	844	682
553	845	680
554	847	679
555	848	677
556	849	675
557	850	674
558	852	672
559	853	670
560	854	668
561	855	666
562	856	664
563	857	663
564	859	661
565	860	659
566	862	658
567	864	657
568	865	655
569	866	653
570	867	651
571	869	650
572	870	648
573	871	646
574	874	646
575	876	644
576	877	643
577	878	641
578	880	640
579	881	638
580	883	637
581	885	636
582	887	634
583	892	635
584	893	633
585	894	632
586	895	630
587	899	630
588	901	629
589	903	627
590	905	626
591	906	625
592	908	623
593	909	621
594	910	620
595	912	618
596	914	617
597	922	619
598	924	618
599	925	616
600	926	615
601	927	613
602	928	611
603	930	609
604	931	608
605	933	606
606	935	605
607	938	605
608	940	603
609	942	602
610	943	600
611	945	599
612	948	598
613	949	596
614	950	595
615	952	593
616	953	592
617	955	590
618	956	588
619	957	586
620	959	585
621	960	583
622	961	581
623	962	580
624	964	578
625	965	577
626	967	575
627	969	574
628	971	572
629	972	571
630	973	569
631	974	567
632	975	565
633	976	563
634	977	561
635	978	560
636	979	558
637	981	556
638	982	554
639	983	552
640	984	551
641	985	549
642	986	547
643	987	546
644	988	544
645	989	542
646	991	540
647	991	538
648	992	536
649	994	535
650	995	533
651	996	532
652	998	530
653	999	528
654	1000	526
655	1002	525
656	1004	524
657	1005	522
658	1006	520
659	1007	519
660	1009	517
661	1010	515
662	1011	514
663	1012	512
664	1014	510
665	1015	509
666	1015	507
667	1016	505
668	1017	503
669	1018	501
670	1019	499
671	1020	498
672	1021	496
673	1023	494
674	1024	493
675	1026	491
676	1027	490
677	1029	488
678	1030	487
679	1031	485
680	1032	483
681	1033	482
682	1035	480
683	1036	478
684	1037	476
685	1039	475
686	1041	474
687	1042	472
688	1044	471
689	1045	469
690	1046	467
691	1048	466
692	1049	465
693	1051	463
694	1052	461
695	1054	460
696	1057	459
697	1058	458
698	1060	456
699	1061	455
700	1063	453
701	1064	451
702	1065	450
703	1067	448
704	1068	447
705	1069	445
706	1071	443
707	1072	442
708	1073	440
709	1075	439
710	1077	437
711	1079	436
712	1081	435
713	1083	433
714	1084	432
715	1085	430
716	1086	429
717	1088	427
718	1089	425
719	1090	423
720	1091	422
721	1092	420
722	1093	419
723	1094	417
724	1096	415
725	1097	414
726	1098	412
727	1100	411
728	1102	409
729	1104	408
730	1105	406
731	1107	405
732	1108	403
733	1109	402
734	1111	400
735	1112	399
736	1115	398
737	1116	396
738	1118	394
739	1119	393
740	1121	391
741	1122	390
742	1125	389
743	1127	387
744	1128	386
745	1130	384
746	1131	383
747	1133	381
748	1134	380
749	1135	378
750	1136	376
751	1138	375
752	1139	373
753	1140	372
754	1142	370
755	1143	369
756	1144	367
757	1145	365
758	1147	364
759	1148	362
760	1149	360
761	1150	359
762	1151	357
763	1153	356
764	1154	354
765	1155	352
766	1158	351
767	1159	350
768	1161	348
769	1163	347
770	1164	345
771	1166	344
772	1167	342
773	1168	341
774	1169	339
775	1170	337
776	1172	336
777	1174	335
778	1175	333
779	1176	331
780	1177	330
781	1179	328
782	1180	327
783	1181	325
784	1182	323
785	1183	322
786	1184	320
787	1186	319
788	1187	317
789	1189	316
790	1190	314
791	1191	312
792	1192	311
793	1193	309
794	1193	307
795	1195	306
796	1196	304
797	1197	303
798	1198	301
799	1200	300
800	1201	298
801	1202	296
802	1203	295
803	1204	293
804	1205	292
805	1206	290
806	1208	288
807	1209	287
808	1210	285
809	1212	284
810	1213	282
811	1214	281
812	1215	279
813	1217	278
814	1217	276
815	1218	274
816	1219	273
817	1220	271
818	1222	270
819	1223	268
820	1225	267
821	1226	265
822	1227	264
823	1228	262
824	1230	261
825	1231	259
826	1232	257
827	1233	256
828	1234	254
829	1236	253
830	1237	251
831	1238	250
832	1239	248
833	1241	247
834	1242	245
835	1243	243
836	1244	242
837	1246	240
838	1247	239
839	1249	237
840	1250	236
841	1251	234
842	1252	233
843	1253	231
844	1254	230
845	1255	228
846	1256	226
847	1257	225
848	1258	223
849	1261	222
850	1263	221
851	1264	219
852	1265	218
853	1266	216
854	1267	214
855	1268	213
856	1270	211
857	1271	210
858	1272	208
859	1274	207
860	1275	205
861	1277	204
862	1278	202
863	1279	201
864	1281	199
865	1282	198
866	1284	196
867	1285	195
868	1286	193
869	1287	192
870	1289	190
871	1291	189
872	1292	188
873	1294	186
874	1295	185
875	1297	183
876	1298	182
877	1299	180
878	1300	179
879	1301	177
880	1303	176
881	1304	174
882	1306	173
883	1307	171
884	1309	170
885	1310	168
886	1311	167
887	1312	165
888	1314	164
889	1315	162
890	1316	161
891	1317	159
892	1320	158
893	1321	156
894	1323	155
895	1324	153
896	1325	152
897	1326	150
898	1328	149
899	1329	147
900	1330	146
901	1331	144
902	1332	143
903	1335	141
904	1337	140
905	1338	138
906	1339	137
907	1341	135
908	1342	134
909	1343	132
910	1344	131
911	1345	129
912	1346	128
913	1348	126
914	1350	125
915	1351	123
916	1353	122
917	1354	120
918	1355	119
919	1356	117
920	1358	116
921	1359	115
922	1361	113
923	1363	112
924	1365	110
925	1366	109
926	1367	107
927	1369	106
928	1370	104
929	1371	103
930	1373	101
931	1374	100
932	1375	98
933	1377	97
934	1379	95
935	1380	94
936	1382	92
937	1383	91
938	1385	89
939	1387	88
940	1388	87
941	1390	85
942	1391	84
943	1393	82
944	1395	81
945	1396	79
946	1397	78
947	1399	76
948	1400	75
949	1401	73
950	1402	72
951	1403	70
952	1404	69
953	1405	67
954	1406	66
955	1408	64
956	1409	63
957	1411	61
958	1412	60
959	1413	58
960	1414	57
961	1415	55
962	1416	54
963	1417	52
964	1418	51
965	1419	49
966	1420	48
967	1421	46
968	1423	45
969	1425	44
970	1426	42
971	1427	41
972	1428	39
973	1429	38
974	1430	36
975	1431	35
976	1432	33
977	1433	32
978	1434	30
979	1436	29
980	1437	27
981	1439	26
982	1440	24
983	1442	23
984	1443	21
985	1444	20
986	1445	19
987	1446	17
988	1448	16
989	1449	14
990	1450	13
991	1452	11
992	1453	10
993	1455	8
994	1456	7
995	1457	5
996	1458	4
997	1460	2
998	1461	1
999	1463	0
